donor_id,donor_name,donor_age,donor_color,sample_well,sample_polygon,sample_mri_0,sample_mri_1,sample_mri_2,structure_id,structure_name,structure_abbreviation,structure_color,top_level_structure_id,top_level_structure_name,top_level_structure_abbreviation,top_level_structure_color
9861,"H0351.2001","24 years","EC891D",154,27255,74,96,29,4053,"anterior orbital gyrus","AOrG","E8BF59",4009,"frontal lobe","FL","E8CD59"
10021,"H0351.2002","39 years","0079C0",-1,-1,-1,-1,-1,4053,"anterior orbital gyrus","AOrG","E8BF59",4009,"frontal lobe","FL","E8CD59"
12876,"H0351.1009","57 years","509800",-1,-1,-1,-1,-1,4053,"anterior orbital gyrus","AOrG","E8BF59",4009,"frontal lobe","FL","E8CD59"
14380,"H0351.1012","31 years","960050",126426487,1395862,107,133,38,4053,"anterior orbital gyrus","AOrG","E8BF59",4009,"frontal lobe","FL","E8CD59"
15496,"H0351.1015","49 years","C2C200",127687067,121128826,118,125,43,4053,"anterior orbital gyrus","AOrG","E8BF59",4009,"frontal lobe","FL","E8CD59"
15697,"H0351.1016","55 years","EB3B00",157773010,155701387,115,123,36,4053,"anterior orbital gyrus","AOrG","E8BF59",4009,"frontal lobe","FL","E8CD59"
9861,"H0351.2001","24 years","EC891D",859,39232,129,78,81,4078,"frontal operculum","fro","E8C159",4009,"frontal lobe","FL","E8CD59"
10021,"H0351.2002","39 years","0079C0",4668,993106,126,79,57,4078,"frontal operculum","fro","E8C159",4009,"frontal lobe","FL","E8CD59"
12876,"H0351.1009","57 years","509800",11086,1270929,134,99,88,4078,"frontal operculum","fro","E8C159",4009,"frontal lobe","FL","E8CD59"
14380,"H0351.1012","31 years","960050",126431753,1403264,132,121,68,4078,"frontal operculum","fro","E8C159",4009,"frontal lobe","FL","E8CD59"
15496,"H0351.1015","49 years","C2C200",139409745,126712344,138,102,92,4078,"frontal operculum","fro","E8C159",4009,"frontal lobe","FL","E8CD59"
15697,"H0351.1016","55 years","EB3B00",157772872,155899604,135,112,71,4078,"frontal operculum","fro","E8C159",4009,"frontal lobe","FL","E8CD59"
9861,"H0351.2001","24 years","EC891D",97,28028,85,96,19,4888,"frontal pole","FP","E8C359",4009,"frontal lobe","FL","E8CD59"
10021,"H0351.2002","39 years","0079C0",4561,980065,107,78,18,4888,"frontal pole","FP","E8C359",4009,"frontal lobe","FL","E8CD59"
12876,"H0351.1009","57 years","509800",-1,-1,-1,-1,-1,4888,"frontal pole","FP","E8C359",4009,"frontal lobe","FL","E8CD59"
14380,"H0351.1012","31 years","960050",-1,-1,-1,-1,-1,4888,"frontal pole","FP","E8C359",4009,"frontal lobe","FL","E8CD59"
15496,"H0351.1015","49 years","C2C200",-1,-1,-1,-1,-1,4888,"frontal pole","FP","E8C359",4009,"frontal lobe","FL","E8CD59"
15697,"H0351.1016","55 years","EB3B00",-1,-1,-1,-1,-1,4888,"frontal pole","FP","E8C359",4009,"frontal lobe","FL","E8CD59"
9861,"H0351.2001","24 years","EC891D",123,27165,94,102,26,4047,"gyrus rectus","GRe","E8C459",4009,"frontal lobe","FL","E8CD59"
10021,"H0351.2002","39 years","0079C0",4692,993213,104,101,54,4047,"gyrus rectus","GRe","E8C459",4009,"frontal lobe","FL","E8CD59"
12876,"H0351.1009","57 years","509800",10996,1266592,96,138,44,4047,"gyrus rectus","GRe","E8C459",4009,"frontal lobe","FL","E8CD59"
14380,"H0351.1012","31 years","960050",126431655,1395897,96,137,58,4047,"gyrus rectus","GRe","E8C459",4009,"frontal lobe","FL","E8CD59"
15496,"H0351.1015","49 years","C2C200",127687101,121130688,101,133,55,4047,"gyrus rectus","GRe","E8C459",4009,"frontal lobe","FL","E8CD59"
15697,"H0351.1016","55 years","EB3B00",157772930,155735103,98,128,36,4047,"gyrus rectus","GRe","E8C459",4009,"frontal lobe","FL","E8CD59"
9861,"H0351.2001","24 years","EC891D",539,36756,145,75,66,4041,"inferior frontal gyrus, opercular part","opIFG","E8C659",4009,"frontal lobe","FL","E8CD59"
