"","id","name","gene.id","gene.symbol","gene.name","entrez.id","chromosome","start.position","end.position","p","fold.change"
"2",1038360,"A_23_P43107",57211,"DCSTAMP","dendrocyte expressed seven transmembrane protein",81501,"8","n/a","n/a",3.25e-14,12.254
"3",1053962,"A_23_P31073",4576,"MYB","v-myb myeloblastosis viral oncogene homolog (avian)",4602,"6","n/a","n/a",7.57e-40,11.988
"4",1053210,"CUST_653_PI417557136",5141,"PDYN","prodynorphin",5173,"20","n/a","n/a",8.95e-22,11.631
"5",1031532,"A_23_P48325",122048,"KCTD4","potassium channel tetramerisation domain containing 4",386618,"13","n/a","n/a",2.1e-38,11.31
"6",1070322,"A_32_P64286",1011337,"A_32_P64286","AGILENT probe A_32_P64286 (non-RefSeq)",0,"n/a","n/a","n/a",1.82e-26,10.713
"7",1032754,"A_32_P225659",90407,"UTS2D","urotensin 2 domain containing",257313,"3","n/a","n/a",1.43e-16,9.942
"8",1065870,"A_23_P140654",1008239,"A_23_P140654","AGILENT probe A_23_P140654 (non-RefSeq)",0,"n/a","n/a","n/a",2.13e-34,9.063
"9",1053653,"CUST_16166_PI416261804",4821,"NPY","neuropeptide Y",4852,"7","n/a","n/a",6.8e-33,8.905
"10",1027786,"CUST_12458_PI416261804",5701,"PTGER3","prostaglandin E receptor 3 (subtype EP3)",5733,"1","n/a","n/a",2.46e-23,8.471
"11",1053652,"A_23_P256470",4821,"NPY","neuropeptide Y",4852,"7","n/a","n/a",5.89e-28,8.221
"12",1045123,"A_23_P31064",25751,"MOXD1","monooxygenase, DBH-like 1",26002,"6","n/a","n/a",1.04e-35,8.018
"13",1023229,"A_24_P945365",5701,"PTGER3","prostaglandin E receptor 3 (subtype EP3)",5733,"1","n/a","n/a",4.72e-23,7.997
"14",1016191,"A_32_P206479",79308,"ZNF831","zinc finger protein 831",128611,"20","n/a","n/a",3.48e-42,7.284
"15",1048357,"A_23_P383258",9471,"GDA","guanine deaminase",9615,"9","n/a","n/a",7.38e-46,7.261
"16",1031533,"A_23_P48327",122048,"KCTD4","potassium channel tetramerisation domain containing 4",386618,"13","n/a","n/a",2.3e-34,7.257
"17",1056965,"A_23_P205428",2274,"FOXG1","forkhead box G1",2290,"14","n/a","n/a",4.24e-88,7.191
